Quote,Author,Book,Year,Category,Page,Source_Book_ID,Quote_Length,Import_Status,AI_Confidence,Notes
This is a simple touch sensitive circuit that detects a change in capacitance when a conductive body (like yours) drains it.,,! - Defeating Electromagnetic Door Locks,,Unknown,,! - Defeating Electromagnetic Door Locks,124,,57.0,
"The end must touch the bare metal of the bar in order to conduct. You have to be holding the jimmy with a bare hand too, because it won't work if you're wearing gloves.",,! - Defeating Electromagnetic Door Locks,,Unknown,,! - Defeating Electromagnetic Door Locks,168,,54.0,
"Here we see how the jimmy curves around to touch the door handle, thus fooling the lock into releasing.",,! - Defeating Electromagnetic Door Locks,,Unknown,,! - Defeating Electromagnetic Door Locks,103,,51.75,
"Cook Yes you to can be saved for a small donation to your local Christian Church, or this is what the hypocritical Christian Priests will sell you.",,$alvation for $ale,,Unknown,,$alvation for $ale,147,,55.25,
"In reality they have no real power and it has all been a ploy to make those weak minded enough, to give up their hard earned money to that particular Church or organization.",,$alvation for $ale,,Unknown,,$alvation for $ale,173,,54.75,
"I ask why if money is the root of all evil do they so long for this evil, even beg for it?",,$alvation for $ale,,Unknown,,$alvation for $ale,90,,50.5,
"On the other hand, as shown above, it is not possible to read the texts or listen to them being read without any sense of meaning at all, i.e.",,'Old’ or ‘New Age’ Aristotle or Astrology,,Unknown,,'Old’ or ‘New Age’ Aristotle or Astrology,142,,68.5,
"If you have not by nature a critical mind your staying here [at Gurdjieff’s Institute] is useless” (see Gurdjieff 1976:201, 275).",,'Old’ or ‘New Age’ Aristotle or Astrology,,Unknown,,'Old’ or ‘New Age’ Aristotle or Astrology,129,,68.25,
"Thus man may belong to one of seven levels, each having differing degrees of knowledge, understanding, materiality and life-span (Wellbeloved 2003:114-15).",,'Old’ or ‘New Age’ Aristotle or Astrology,,Unknown,,'Old’ or ‘New Age’ Aristotle or Astrology,155,,65.25,
"77 If I tell the truth, and if the witnesses I can summon are worthy of belief, here are convincing evidences of spirit-life and spirit-power.",,'Twixt Two Worlds,,Unknown,,'Twixt Two Worlds,142,,72.5,
"We invited a select circle of about twelve persons, the only stranger being a German physician interested in Spiritualistic investigations—Dr.",,'Twixt Two Worlds,,Unknown,,'Twixt Two Worlds,142,,68.5,
"Seven or eight evenings were passed in endeavouring to obtain proofs of the existence of some spiritual power, but none were forthcoming.",,'Twixt Two Worlds,,Unknown,,'Twixt Two Worlds,137,,68.25,
"Two digital multimeters and a shunt resistor were used to measure the voltage and current, so we could calculate the power produced.",,(EBooK) - Science - How To Build A Fuel Cell (Free Energy),,Science,,(EBooK) - Science - How To Build A Fuel Cell (Free Energy),132,,63.0,
