New_ID,Title,Title_Display,Alternate Title,Author,Year,Century,Category,Subcategory,Tradition,Keywords,Difficulty,Language,Public Domain,Short Description,Long Description,PDF_File_Name,PDF_Drive_Link,Cover_Image,OCR_Status,AI_Ready,Quote_1,Quote_2,Quote_3,Quote_Page,Featured,Daily_Wisdom_Eligible,Quest_Eligible,Notes,Preview_PDF_Drive_Link,Preview_Ready,Preview_Page_Count
FL_0001,Emerald Tablet,Emerald Tablet,Emerald Table,Hermes Trismegistus,Unknown,Ancient,Alchemy,Hermetic Text,Hermeticism,"alchemy, hermes, emerald tablet",Beginner,English,Yes,Famous Hermetic alchemical text attributed to Hermes Trismegistus.,"A foundational Hermetic work describing the principle ""As above, so below"" and the unity of the cosmos.",FL_0001_HermesTrismegistus_EmeraldTablet_Unknown.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnRVVTUjM0c0wyQ1k/view?usp=sharing&resourcekey=0-v_No0VMu6NDHzwRYJICB1w,COVER_IMAGE_LINK,OCR Pending,No,As above so below.,The sun is its father.,The moon is its mother.,1.0,Yes,Yes,No,Classic Hermetic text,https://drive.google.com/file/d/1wvIlt8NXAHRo4Rkb8UvPXtSWMEHZ68hW/view?usp=sharing,True,10.0
FL_0002,Enuma Elish,Enuma Elish,Babylonian Creation Epic,Unknown,-1100,Ancient,Mythology,Creation Myth,Mesopotamian,"cosmology, babylon, mythology",Intermediate,English,Yes,Ancient Babylonian creation myth describing the rise of Marduk.,A central Mesopotamian cosmological narrative describing the origins of the universe and divine hierarchy.,FL_0002_Unknown_EnumaElish_-1100.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnSnhHUWc4U3RZMkE/view?usp=sharing&resourcekey=0-zCR8UJzKbzv9-c0zcsJT8g,COVER_IMAGE_LINK,OCR Pending,No,When above the heavens had not yet been named.,The waters mingled together.,The gods were created.,2.0,No,Yes,No,Mesopotamian cosmology,https://drive.google.com/file/d/1asillLn1g3ECrju9ZHsAzhk0UZXBkapx/view?usp=sharing,True,10.0
FL_0003,The Kybalion,The Kybalion,Hermetic Philosophy,The Three Initiates,1908,20th Century,Hermeticism,Occult Philosophy,Hermetic,"mentalism, vibration, polarity",Beginner,English,Yes,Classic Hermetic philosophy text outlining universal laws.,A modern presentation of Hermetic principles describing the mental nature of reality.,FL_0003_ThreeInitiates_Kybalion_1908.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnTWhNRndleDlPR3M/view?usp=sharing&resourcekey=0-Q0IigMEjZQ9bsbwnrbde-Q,COVER_IMAGE_LINK,OCR Pending,No,The All is Mind.,As above so below.,Everything flows.,12.0,Yes,Yes,No,Hermetic philosophy,https://drive.google.com/file/d/15sYJI6cFztdEjteIndgWnDvNuxu8xp8T/view?usp=sharing,TRUE,10.0
FL_0004,DMT Extraction,Dmt Extraction,DMT Extraction Guide,Unknown,Unknown,Modern,Early Science,Chemistry,Psychedelic,"chemistry, dmt, extraction",Advanced,English,Unknown,Guide explaining chemical extraction of DMT.,A modern chemical guide describing methods for extracting DMT compounds.,FL_0004_Unknown_DMTExtraction_Unknown.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnamc2V2szb2Q4U0U/view?usp=drive_link&resourcekey=0-ZptfgE0y2DAe8CDNnx98mQ,COVER_IMAGE_LINK,OCR Pending,No,Extraction requires proper solvents.,Safety procedures are critical.,Use proper ventilation.,3.0,No,No,No,Modern document,https://drive.google.com/file/d/1JA-yINCHJ1eWGp9my7KZj2NUzRZiQbAo/view?usp=sharing,True,10.0
FL_0005,Chinese Taoist Sorcery,Chinese Taoist Sorcery,Taoist Magic,Unknown,Unknown,Ancient,Magic,Taoist Magic,Taoist,"taoism, magic, ritual",Intermediate,English,Yes,Text describing Taoist magical practices and rituals.,"Traditional Taoist sorcery methods involving ritual, talismans, and spirit invocation.",FL_0005_Unknown_ChineseTaoistSorcery_Unknown.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnclBzVXlRd2lPTTA/view?usp=drive_link&resourcekey=0-E_1S6xEhVCvpXfseF8WsOQ,COVER_IMAGE_LINK,OCR Pending,No,The spirits respond to ritual order.,Talismans hold power.,Balance governs the unseen.,5.0,No,Yes,No,Taoist magic text,https://drive.google.com/file/d/13atlrmHZnxyM7JNuTBLZ5qH95H2zdE_S/view?usp=sharing,True,10.0
FL_0006,TheRosicrucianManifestos,Therosicrucianmanifestos,,,,,,,,,,,,,,TheRosicrucianManifestos.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnRUpSQ24xdW9HaUk/view?usp=drivesdk&resourcekey=0-gYKAYzke1Lkv7X7D_7Z2EQ,,,,,,,,,,,,https://drive.google.com/file/d/1PzOF8QXtp2zpnP6CzcY38j8YbxZbafq1/view?usp=sharing,True,10.0
FL_0007,BookEnoch,Bookenoch,,,,,,,,,,,,,,BookEnoch.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnUUVFSWtLR0dUbUk/view?usp=drivesdk&resourcekey=0-qENQT8TBj0f_m8_pEeYKhw,,,,,,,,,,,,https://drive.google.com/file/d/1x3Ow8w2AKgNbnlBqQ1VGnG6NrHeQEr26/view?usp=sharing,True,10.0
FL_0008,The Anatomy of The Body of God,The Anatomy Of The Body Of God,,,,,,,,,,,,,,The Anatomy of The Body of God.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnaWpCdE1ZbE9vTXc/view?usp=drivesdk&resourcekey=0-hFnY9h89BFkl6QDIbyGryw,,,,,,,,,,,,https://drive.google.com/file/d/1aVdZKMGMIqPYLuxYrkPd4GoOtjXS02RK/view?usp=sharing,True,10.0
FL_0009,Yoni_Tantra,Yoni Tantra,,,,,,,,,,,,,,Yoni_Tantra.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mnaUNPLUZQWHRmNUk/view?usp=drivesdk&resourcekey=0-ptPUU7Pvc3YPehOLAAfEYg,,,,,,,,,,,,https://drive.google.com/file/d/1X_5vtj-fJRoVRS8ZWJYLVY1dTjovQS1j/view?usp=sharing,True,10.0
FL_0010,Yoga_Vidya_of_Immortality,Yoga Vidya Of Immortality,,,,,,,,,,,,,,Yoga_Vidya_of_Immortality.pdf,https://drive.google.com/file/d/0B7BPjB4fO2mndXZEZVBJM1NXT2c/view?usp=drivesdk&resourcekey=0-5mtBevj3BK6DqS4c9C1GSw,,,,,,,,,,,,https://drive.google.com/file/d/1UD65xmmHE98qwZpY4CXu28bt1RiwtF5z/view?usp=sharing,True,10.0
